Title,Topic,Subtopic,Year of the map,Description,link
Barley Export Destinations,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/orge_export.jpg
Hardwheat import,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Hardwheat_import_28012011_nl.jpg
Mais export over 50k,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/maisexport_over50k_25032011_NL.jpg
Mais import,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/mais_import_25032011_NL.jpg
Soft Wheat Import Origins,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Softwheat_import.jpg
Softwheat export,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/softwheat_export_28012011_NL.jpg
Total Cereal Export Destionations,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Total_cereal_export_24032011_NL.jpg
Total Cereal Import Origins,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Tot_cereal_import_21032011_NL.jpg
Winetrade world IMP,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/winetrade_world__IMP_5102011_nl.gif
Winetrade world_ EXP,Agri-food Markets,Trade and Quotas,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/winetrade_world__EXP_5102011_nl.gif
EU 27 Animal feed export 2010,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/an_feed_exp_2010.jpg
EU 27 Animal feed export 2011,Agri-food Markets,Trade and Quotas,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/An_feed_exp_2011.jpg
